,Text,Pass,Expected,Anna,Amrutha,Amrutha_enc,Anna_enc,positive_sentiment,negative_sentiment,text_length
0,"I got 6 stitches. My parents love my bf and in fact, my mom and him are so close that they go on walks and go to the movies together. I felt uncomfortable and unwanted by his family. To be fair, I was also a little closed off with them but mainly because I felt so unwanted. I have put on some weight, which I am sure his dad noticed because he absolutely hates fat people.",pass1,,Emotional Stress,Emotional Stress,7,7,42.01,57.99,76
1,"I was never really close to him, our conversations never went past the 'nice weather we're having' area. But I coincidentally ran into him at a bar recently and I initially tried to keep my distance from him because I know he's friends with Zach, but then he told me that not only does he and Zach are no longer in contact with each other, they actually really dislike each other now. I'm guessing something went down after Zach and I broke up. After that, I was more comfortable around him. So, as the night went along and we got drunker, we ended up hooking up.",pass1,,Relationships,Relationships,10,10,51.61,48.39,106
2,"We are 100% no contact, and have decided we won't talk to each other for at least a few months, or until we're ready to talk and maybe try to be friends. He says he still cares deeply for me and loves me, but this is for the best. I wish it was easier to get over, but it isn't. What advice do y'all have? Thanks!",pass1,,Relationships,Relationships,10,10,93.92,6.08,66
3,"(Hurt the ego, but whatever, I guess you're not always gonna be the hottest guy she's ever been with.) Then I found another thing that pretty much destroyed me - an e-mail to her high school boyfriend begging him to come visit her and have sex with her, because of how fantastic it was when they used to have sex. This was probably half a year after we had split up, and the implied comparison with me was pretty clear. Making matters worse is that this guy basically checks all the boxes on shit that makes me insecure - tall, douchey rich guy (in contrast to me - 5'8"", not at all douchey guy with a good but not incredibly glamorous career). Anyway, these pieces of information - that she pretty much opened up to me sexually only when she felt threatened by another woman, and that she has clearly been with other guys who she's had much more sexual interest in than me - pretty much led me to the alternate hypothesis that it wasn't the vaginal pain and the birth control so much as her lack of attraction to me in comparison to past boyfriends.",pass1,,Relationships,Relationships,10,10,64.58,35.42,197
4,"I've been with Mike for 4 years now. We have an amazing relationship and I never felt bothered by anything in it, not even silly arguments that are more than common between a couple. Mike has a best friend named Theo. Theo is a cute guy who never seems to settle down, but not in a womanizer way, more like, he hasn't found the one. Well, hadn't found the one.",pass1,,Relationships,Relationships,10,10,94.68,5.32,70
5,"My Father has been struggling with alcoholism for nearly his entire life, he hasn’t been in contact with myself, my mom, or my sister in years. I guess it all of sudden caught up with him, he past away from a heart attack recently. It still doesn’t feel real, but my girlfriends family has been nothing but supportive throughout the whole thing and helped me grieve through his death. Needless to say, I do not want to attend a funeral or memorial, because I’d like to remember the good times I had with him and not being up bad memories. I had a rough child hood, he cheated on my mother, he wasn’t a great guy.",pass1,,Emotional Stress,Cognitive Stress,8,7,40.74,59.26,116
6,"After meeting last year, Amanda and Isaac became incredibly close and agreed to live together for their Senior year. This past November, Amanda got drunk at a party and ended up making out with a random guy (on Jeff's birthday). Because of this, Amanda told Jeff that she wanted to take a break. Lots of drama. Everyone was shocked because from the outside, Amanda and Jeff seemed to have a really strong relationship (dating for 4+ years).",pass1,,Perceptual Stress,Relationships,10,9,64.63,35.37,77
7,"So I'm getting a cheap apartment, most utilities included, and all maintenance covered. I used the last of my savings for the application fee and hold fee. I'm going to be moving at the end of the month and it's going to be tight, paying the security deposit and prorated rent when I already had to pay lot rent for the trailer this month. I'm selling the trailer at a loss to get about a third of it, selling everything I don't need in the hopes for another third, and I should be able to cover the rest from my paycheck... If I cut the grocery bill.",pass1,,Finance,Finance,17,17,47.62,52.38,107
8,"I'm a freelancer, which means pay isn't always steady. I also have frequent painful and difficult digestive issues as well as migraines that lay me out several times a month. I work hard, I make an effort to save where I can, but some months bills and such wipe me out. I'm just coming through a bout of sick and feeling up to eating again, but thanks to pay waits and bills, I'm broke and down to a bit of brown rice and gelatin in the house. I made a post this morning on r/Random_Acts_of_Pizza and a mod pointed me here for some slightly more substantial help.",pass1,,Illness,Cognitive Stress,8,2,51.24,48.76,107
9,In the last year I have developed some health problems. I started having seizures and because of them I had to miss work. Because of that I got fired. I was doing okay still while looking for another job by donating plasma. But my car got repossessed a few days ago and I haven’t been able to get there to donate.,pass1,,Finance,Finance,17,17,20.66,79.34,61
